"X0.4","X5.9","X10.19","X20.29","X30.39","X40.49","X50.59","X60.69","X70.79","X80.150"
0,0,1,4,9,8,25,34,41,52
1,1,1,4,4,16,19,34,33,64
4,0,0,4,5,8,21,30,38,67
0,0,0,5,9,11,16,30,38,58
2,0,2,3,3,9,13,21,30,48
2,0,0,1,3,11,12,24,34,52
0,0,0,1,2,10,20,24,31,49
1,0,1,3,4,7,23,29,35,50
1,0,0,1,8,8,22,24,31,40
2,1,0,0,5,8,15,31,25,32
0,0,0,0,1,7,10,17,24,40
1,0,0,2,4,5,14,13,24,28
1,0,0,2,5,8,10,18,26,46
1,1,0,3,2,6,11,14,30,41
0,0,0,4,4,12,9,19,12,33
0,0,1,0,1,3,14,12,19,33
0,0,0,2,5,10,12,19,28,43
0,0,0,2,2,7,8,13,25,29
0,0,0,2,1,7,10,13,12,31
0,0,0,1,1,3,14,9,17,42
0,0,0,1,2,4,7,13,15,24
0,0,0,3,2,3,6,9,20,21
0,0,1,1,4,3,7,10,15,15
0,0,1,1,0,5,6,7,6,25
1,0,0,0,1,2,4,6,15,13
1,0,0,0,0,0,3,6,5,26
1,0,0,2,1,1,4,3,3,14
0,0,0,1,2,3,5,4,9,16
