"X0.4","X5.9","X10.19","X20.29","X30.39","X40.49","X50.59","X60.69","X70.79","X80.150"
0,0,1,3,3,7,1,12,8,23
0,0,1,3,4,6,5,15,14,21
0,0,1,2,2,6,10,15,12,18
0,0,0,1,3,8,6,18,19,27
1,0,0,0,2,8,8,13,12,16
1,0,1,4,6,15,11,15,9,22
0,0,0,3,4,3,3,12,17,23
1,0,0,2,4,6,3,10,10,22
0,0,0,1,6,3,9,9,19,19
0,0,1,3,1,8,13,14,11,28
2,0,0,4,3,2,7,10,26,31
0,0,1,7,6,14,8,19,19,27
1,1,1,2,6,7,13,16,15,36
0,1,2,1,3,6,6,18,24,29
1,0,2,0,4,6,10,26,24,30
0,0,1,3,3,7,13,13,23,34
1,0,1,0,5,4,8,32,25,41
2,0,1,4,2,6,18,23,27,34
1,0,0,4,6,9,14,25,34,37
1,0,2,3,4,10,23,19,28,55
1,0,0,3,2,12,12,28,30,39
0,0,1,2,6,9,16,25,21,35
0,1,2,3,8,5,17,27,39,50
2,0,0,4,2,13,20,25,27,45
1,1,3,4,6,9,19,16,25,40
1,0,0,3,4,9,24,30,29,49
1,0,2,4,6,7,16,32,42,59
0,0,1,3,6,15,31,41,30,64
2,0,0,8,2,13,19,29,33,59
1,1,0,5,8,10,15,29,33,44
3,1,1,6,8,6,16,34,32,39
2,1,2,3,7,12,28,39,41,70
1,3,5,1,8,8,26,36,43,74
2,1,0,3,7,14,21,24,35,48
1,0,1,1,5,10,20,33,46,58
0,1,0,2,4,10,16,31,31,70
1,0,2,2,7,8,17,33,40,48
1,0,1,0,3,10,19,39,42,42
1,1,1,2,8,15,14,41,36,81
3,1,1,5,6,9,26,14,36,63
1,1,1,5,5,8,19,25,47,57
0,0,0,3,5,9,27,31,42,76
0,0,0,7,5,7,16,31,24,56
1,0,0,1,4,17,16,29,34,54
1,0,2,5,7,10,15,25,29,69
0,0,1,5,9,11,25,34,41,52
1,0,2,4,4,16,17,37,33,64
4,0,0,4,3,8,21,31,39,65
0,0,0,5,9,12,16,30,39,57
2,0,2,3,3,9,13,22,30,49
2,0,0,1,3,11,12,24,35,49
0,0,0,1,2,9,20,25,31,48
1,0,1,3,4,7,23,31,36,48
1,0,0,2,8,8,22,24,31,39
2,1,0,0,4,8,15,30,24,35
0,0,0,0,1,8,10,17,25,41
1,0,0,2,4,5,14,13,24,28
1,0,0,2,5,8,10,18,27,46
1,1,0,4,2,6,11,13,30,40
0,0,0,4,4,12,10,19,12,34
0,0,1,0,1,3,12,13,20,35
0,0,0,2,5,11,13,18,29,42
0,0,0,3,2,7,8,13,25,28
0,0,0,2,1,7,10,13,12,31
0,0,0,1,1,3,15,9,17,38
0,0,0,1,2,4,7,15,15,23
0,0,0,3,2,3,6,9,19,21
0,0,1,1,3,3,7,11,15,15
0,0,1,1,0,6,6,8,6,27
1,0,0,0,1,2,4,6,15,13
1,0,0,0,0,0,4,6,4,26
1,0,0,2,1,1,4,3,3,14
0,0,0,1,2,3,5,4,8,17
