"X0.4","X5.9","X10.19","X20.29","X30.39","X40.49","X50.59","X60.69","X70.79","X80.150"
0,0,2,3,3,12,20,24,29,59
0,0,1,4,7,8,16,31,39,66
0,0,1,3,7,11,25,28,30,53
1,0,2,1,5,14,16,26,38,74
0,1,2,2,12,13,29,31,44,72
1,0,1,2,2,5,14,26,44,71
0,0,1,0,8,12,27,40,51,87
0,0,0,7,5,10,17,27,32,71
0,0,0,1,10,13,15,24,27,64
0,0,1,2,4,9,18,40,50,81
0,1,1,2,3,17,23,30,50,86
0,0,1,2,5,19,21,36,40,84
0,0,0,3,8,9,16,24,65,79
0,0,2,5,6,9,23,36,69,84
1,1,2,7,3,14,24,40,52,87
2,0,2,3,6,10,28,47,59,82
0,0,0,6,2,20,30,30,42,82
0,1,4,11,4,19,23,33,38,69
0,0,2,5,6,8,22,48,53,93
0,1,0,2,11,21,27,46,52,87
0,0,1,2,9,17,23,36,43,83
2,0,2,4,4,18,23,35,41,85
