"epsilon","zeta","nu_short[1]","nu_short[2]","nu_short[3]","nu_short[4]","nu_short[5]","nu_short[6]","nu_short[7]","nu_short[8]","nu_short[9]","nu_short[10]","inoculum","beta_short[1]","beta_short[2]","beta_short[3]","r","alpha","gamma","x0","k0","x1","k1","x2","k2","x3","k3","x4","k4","u1","u2","u3","u4"
0.0527521,0.746008,0.000358894,0.000284251,0.000593157,0.000788576,0.00111363,0.00144061,0.00267026,0.00567005,0.0128968,0.0390457,0.000124765,0.447278,0.993487,1,48.4184,0.338177,0.277743,28.3458,0.920305,61.2597,2.34137,179.088,1.44742,261.538,0.966741,299.194,0.870946,0.208686,0.411498,0.245506,0.492657
0.0510195,0.753515,0.000431,0.000318316,0.000601521,0.000880429,0.0012043,0.00158544,0.00300236,0.00662587,0.0140472,0.0450781,0.000115378,0.44422,0.998975,1,76.8777,0.337672,0.269346,28.2814,0.688418,64.6539,0.765739,177.777,1.17426,259.624,0.460712,296.505,1.78416,0.202145,0.40391,0.217511,0.450136
0.0549541,0.78959,0.000333423,0.000244384,0.000397825,0.000762193,0.00107683,0.0014648,0.00280439,0.00514119,0.0114378,0.0348553,0.000153588,0.459889,0.878891,1,59.4198,0.349878,0.278352,28.7313,0.97142,62.0503,0.514003,178.838,0.980261,259.503,0.551754,299.37,1.83061,0.218867,0.44967,0.263441,0.526819
0.0567166,0.783406,0.00025542,0.000257034,0.000391599,0.000713052,0.000966532,0.00135549,0.0024432,0.00474212,0.0100894,0.0303395,0.00019308,0.451605,0.900779,1,62.0813,0.306422,0.292131,29.4806,0.885195,65.2316,4.15671,179.251,3.39578,261.107,0.90106,297.713,1.00938,0.237514,0.460501,0.286801,0.543935
0.0546633,0.745338,0.000435561,0.000388257,0.000568697,0.00073068,0.000965129,0.00124823,0.0023769,0.00448591,0.00970182,0.0293119,9.80465e-05,0.340215,0.907529,1,46.5513,0.427942,0.262977,28.7863,1.83156,61.961,0.463613,181.246,0.317607,258.633,0.427807,297.304,1.06557,0.214708,0.420318,0.270232,0.483496
0.0480719,0.77868,0.000241821,0.00022246,0.000348422,0.000697631,0.00100793,0.00138102,0.00249957,0.00539311,0.011732,0.0368498,0.00015228,0.573208,0.980135,1,60.2101,0.336833,0.261357,28.6581,1.02281,66.9551,4.01848,178.172,3.45392,260.977,1.98349,298.546,1.68441,0.205318,0.418586,0.230629,0.492725
0.0428715,0.749929,0.000385171,0.000349937,0.000478585,0.00080812,0.00108532,0.00143443,0.00271678,0.00577784,0.0129282,0.0414247,9.24891e-05,0.468719,0.98718,1,49.6926,0.454241,0.221943,28.1562,1.79955,63.4358,1.04005,178.892,0.83281,259.069,0.324617,297.244,1.03295,0.190926,0.387475,0.202701,0.415283
0.0643716,0.748322,0.000271589,0.000220895,0.000348396,0.000804043,0.00106444,0.00142942,0.00271238,0.00579035,0.0125405,0.0375156,0.000120453,0.584899,0.98044,1,51.8581,0.305758,0.345005,27.5534,0.43227,61.7974,0.510823,179.707,0.628922,261.184,1.02255,296.869,0.827403,0.214162,0.415173,0.269664,0.527081
0.0518054,0.804415,0.000368659,0.000299906,0.000506264,0.00102446,0.00139513,0.00192995,0.0036225,0.00651221,0.0140229,0.0445032,0.000106212,0.487104,0.856963,1,48.8933,0.39337,0.261701,29.3373,2.1867,64.8965,2.65374,179.292,2.57389,259.539,0.937551,298.08,1.26014,0.219093,0.423606,0.225345,0.462171
0.0516243,0.77853,0.000335213,0.000258651,0.000474006,0.000861842,0.00122284,0.00158995,0.00291826,0.00573563,0.0123622,0.0384108,0.000129208,0.471797,0.879216,1,59.1348,0.383593,0.261169,28.7334,3.52466,61.5845,1.45315,180.011,1.97626,260.064,2.96054,295.462,2.35024,0.222981,0.434048,0.239312,0.456387
